/home/prateek119/MusicData/EnglishSongs1/1812 Overture (Tchaikovsky)--BbT0E990IQ.mp3,,,
/home/prateek119/MusicData/EnglishSongs1/5 Seconds of Summer - Teeth (Official Video)-JWeJHN5P-E8.mp3,5 Seconds of Summer,Pop-rock,English
/home/prateek119/MusicData/EnglishSongs1/Ac_dc - You Shook Me All Night Long (Karaoke Version) #instrumental #karaoke #singalong #backing-whKRfFk9nkA.mp3,Ac_dc,Pop-rock,English
/home/prateek119/MusicData/EnglishSongs1/Adagio in G Minor (Albinoni)-XMbvcp480Y4.mp3,Adagio in G Minor (Albinoni)-XMbvcp480Y4,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Adele - Chasing Pavements-08DjMT-qR9g.mp3,Adele,Pop Rock,English
/home/prateek119/MusicData/EnglishSongs1/Adele - Hello-YQHsXMglC9A.mp3,Adele,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Adele - Rolling in the Deep-rYEDA3JcQqw.mp3,Adele,Pop Rock,English
/home/prateek119/MusicData/EnglishSongs1/Adele - Send My Love (To Your New Lover)-fk4BbF7B29w.mp3,Adele,Pop rock,"The content in cell A2 is a file path, not a language."
/home/prateek119/MusicData/EnglishSongs1/Adele - Someone Like You-hLQl3WQQoQ0.mp3,Adele,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Aerosmith - I Don't Wanna Miss a Thing Lyrics-Ss0kFNUP4P4.mp3,Aerosmith,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/A Great Big World & Christina Aguilera - Say Something (Official Video)--2U0Ivkn2Ds.mp3,A Great Big World & Christina Aguilera,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/A-HA feat KYGO - TAKE ON ME - EXCLUSIVE - The 2015 Nobel Peace Prize Concert-0FJFKCnYtN4.mp3,A-HA feat KYGO,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/A-HA - SCOUNDREL DAYS - The 2015 Nobel Peace Prize Concert-BEySZSucFyg.mp3,A-HA,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/A-HA - SCOUNDREL DAYS _ THE SUN ALWAYS SHINES ON TV - 360 Angle - The 2015 Nobel Peace Prize Concert-O599_DyZy_k.mp3,A-HA,"Pop, pop rock, pop-punk, power pop, new wave.",English
/home/prateek119/MusicData/EnglishSongs1/A-HA - STAY ON THESE ROADS - The 2015 Nobel Peace Prize Concert-GsN7z-tWETc.mp3,A-HA,Pop-punk,English
/home/prateek119/MusicData/EnglishSongs1/A-HA - SYCAMORE LEAVES - The 2015 Nobel Peace Prize Concert-Yh-OszmBbto.mp3,A-HA,Pop rock,English
